Product_ID,Product_Code,Product_Name,MRP,PTR,PTS_Rate,Available_Stock,Stockist_ID,manufacture,Pack_Size,Scheme,HSN,Expiry_Date,GST,is_brand,ED_Code,MinQty,MaxQty
15149938,PROD6602,"A TO Z NS NEW DROPS MANGO-PROD6602",133.47,101.69,91.53,620,756,"ALKEM LA",30ML,,,30-06-2026,5,0,ED000235402,1,-1
1686622,J0002120,"A TO Z NS SYRUP-J0002120",205.55,156.61,112.69,19,756,ALKEM,200ML,,,28-02-2027,5,0,ED000000180,0,0
7601353,J0042061,"A TO Z NS+ TABLET-J0042061",155.72,118.64,106.78,287,756,ALKEM,1*15,,,30-09-2025,5,0,ED000170187,0,0
1686756,J0002115,"A TO Z-GOLD CAPSULE-J0002115",247,188.19,126.34,323,756,ALKEM,15`S,,,31-10-2026,5,0,ED000155269,0,0
8541889,J0051484,"A-RET GEL 0.025% GEL-J0051484",126,96.01,82.43,660,756,MENARINI.A,20GM,,,31-07-2027,5,0,ED000000165,0,0
8541888,J0051485,"A-RET GEL 0.05% GEL-J0051485",162,123.43,111.09,92,756,MENARINI.A,"20 GM",,,30-11-2027,5,0,ED000000166,0,0
1684381,J0003959,"A-RET GEL 0.1% GEL-J0003959",224,170.67,153.6,21,756,MENARINI.A,20GM,,,31-10-2027,5,0,ED000000167,0,0
10481861,J0044706,"A-RET HC CREAM  15GM 15GM-J0044706",184.69,140.72,126.64,12,756,MENARINI.A,15GM,,,31-07-2027,5,0,ED000000168,0,0
5317171,J00522,"A2 LITE CREAM-J00522",699,473.92,426.51,5,756,ETHICARE,20GM,,,31-07-2027,18,0,ED000180206,0,0
1686005,J0002125,"AACTARIL SOAP-J0002125",106.78,81.36,72.13,51,756,HIMALAYA,75GM,,,30-11-2027,5,0,ED000000213,0,0
11030407,PROD624,"AB FLO CAPSULE-PROD624",279.7,213.11,191.79,1,756,LUPIN,15,,,30-06-2027,5,0,ED000199781,1,-1
14196994,PROD3301,"AB NEXT GEL-PROD3301",479.65,365.45,328.9,4,756,LUPIN,"20 GM",,,28-02-2027,5,0,ED000148319,1,-1
1702601,J0002126,"AB PHYLLINE N TABLET-J0002126",235.31,179.28,161.36,18,756,SUNPDL,10`S,,,30-06-2027,5,0,ED000000252,0,0
1702602,J0002127,"AB PHYLLINE SR 200 TABLET-J0002127",284.06,216.42,194.78,13,756,SUNPDL,10`S,,,30-09-2027,5,0,ED000000250,0,0
14529822,PROD4869,"AB PRESS EYE DROPS-PROD4869",309.38,235.71,212.14,51,756,ENTOD,"5 ML",,,30-06-2026,5,0,ED000000363,1,-1
3581575,J0002146,"AB-FLO SR TABLET-J0002146",278.4,212.11,190.9,41,756,LUPIN,1*10,,,31-07-2027,5,0,ED000000258,0,0
2912568,J0002148,"AB-FLO-N TABLET-J0002148",252,192,172.8,49,756,LUPIN,10`S,,,28-02-2027,5,0,ED000000260,0,0
1694253,J0002130,"ABANA TABLET-J0002130",220.31,167.86,148.81,25,756,HIMALAYA,"60,S",,,31-05-2027,5,0,ED000000266,0,0
8020062,JE034587,"ABAXIS 2.5 TABLET-JE034587",170.16,129.64,116.68,5,756,INTAS,10T,,,31-07-2028,0,0,ED000186724,0,0
3582668,J0014824,"ABAXIS 5 TABLET-J0014824",215.39,164.11,147.7,18,756,INTAS,10T,,,31-07-2028,0,0,ED000187041,0,0
1697147,J0002138,"ABETANEURON-D3 CAPSULE-J0002138",289.68,220.71,198.64,9,756,RADICOOL,10`S,,,31-08-2027,5,0,ED000157243,0,0
1697078,J0002139,"ABETANEURON-LC TABLET-J0002139",274.95,209.49,188.54,79,756,RADICOOL,10`S,,,30-11-2026,5,0,ED000157244,0,0
1697294,J0002140,"ABETANEURON-OD  CAPSULE-J0002140",389.06,296.43,266.79,44,756,RADICOOL,10S,,,31-08-2027,5,0,ED000157629,0,0
1701054,J0002142,"ABETCOLA TABLET-J0002142",324.79,247.46,222.71,11,756,RADICOOL,10`S,,,31-07-2027,5,0,ED000110012,0,0
14698914,PROD5666,"ABEVIA 100 MG CAPSULE-PROD5666",161.58,123.11,110.8,89,756,MANKIND,15,,,31-01-2027,5,0,ED000230959,1,-1
14211031,PROD3323,"ABEVIA N TABLET-PROD3323",259.03,197.36,177.62,45,756,MANKIND,15,,,31-01-2027,5,0,ED000228927,1,-1
2959650,J0002149,"ABIWAYS TABLET-J0002149",246.08,187.49,168.74,19,756,MANKIND,15T,"11 + 1, 6 + 8.33%",,31-05-2027,5,0,ED000170169,0,0
4253086,J0038036,"ABIWAYS-200 SR TABLET-J0038036",195.94,149.29,134.36,14,756,MANKIND,10T,,,31-01-2027,5,0,ED000163713,0,0
8067740,J0050079,"ABIWAYS-M TABLET-J0050079",198.75,151.43,136.29,32,756,MANKIND,10T,"11 + 1, 6 + 8.33%",,31-10-2026,5,0,ED000170765,0,0
2690187,J0002150,"ABLUNG CAPSULE-J0002150",116.99,89.14,80.22,2,756,CIPLA,10S,,,31-05-2027,5,0,ED000153663,0,0
3548600,J0002152,"ABMAC TABLET-J0002152",280.31,200.22,192.21,49,756,UNIMAC,10S,,,31-07-2027,5,0,ED000148861,0,0
9030985,J0042392,"ABMAC-N TABLET-J0042392",234.38,178.57,160.71,9,756,UNIMAC,10`S,,,31-05-2027,5,0,ED000193199,0,0
1715015,J0002154,"ABOROS-20 TABLET-J0002154",283.12,215.71,194.14,10,756,LARENON,10`S,,,01-11-2026,5,0,ED000144626,0,0
13827769,PROD2823,"ABPEX N TABLET-PROD2823",196,149.33,149.33,3,756,SHILPEX,10,,,31-05-2027,0,0,ED000225115,1,-1
2690186,J0002155,"ABPRESS PF EYE DROPS-J0002155",430.31,327.86,295.07,15,756,ENTOD,10ML,,,30-04-2027,5,0,ED000152683,0,0
13244486,PROD2492,"ABROLONG N TABLET-PROD2492",276.56,210.71,189.64,1,756,PONOOGUN,10,,,31-10-2026,5,0,ED000221645,1,-1
13244148,PROD2491,"ABROLONG SR 200 MG TABLET-PROD2491",253,192.86,173.49,5,756,PONOOGUN,10,,,31-10-2026,5,0,ED000223319,1,-1
1714763,J0002158,"ABSENZ SYRUP-J0002158",478.13,364.29,327.86,37,756,SUNPDL,100ML,,,31-05-2027,5,0,ED000138198,0,0
2691366,J0002162,"ABSOLUT 3G CAPSULE-J0002162",192.19,146.43,131.79,69,756,PHARMED,10`S,,,31-05-2027,5,0,ED000000375,0,0
1697048,J0002166,"ABSOLUT DM CAPSULE-J0002166",314.06,239.28,215.36,18,756,PHARMED,15S,,,30-09-2027,5,0,ED000168450,0,0
3727240,J0037017,"ABSOLUT GOLD CAPSULE-J0037017",177.96,135.59,122.03,12,756,PHARMED,10`S,,,30-04-2026,5,0,ED000160976,0,0
3351469,J0002172,"ABSOLUT WOMAN CAPSULE-J0002172",234.38,178.58,160.72,81,756,PHARMED,10,,,31-07-2027,5,0,ED000000381,0,0
8249768,J0050544,"ABVIDA 50MG TABLET-J0050544",205.84,156.83,141.15,21,756,ABBOTT-H,15T,,,31-12-2026,5,0,ED000140973,0,0
8249775,J0050545,"ABVIDA SR 100 TABLET-J0050545",243.29,185.36,166.83,2,756,ABBOTT-H,15T,,,28-02-2027,5,0,ED000160181,0,0
8638710,J0051567,"ABVIDA-TRIO 100 MG+10 MG+500 MG TABLET-J0051567",171.39,130.58,117.53,6,756,ABBOTT-H,10`S,,,30-06-2026,5,0,ED000188829,0,0
1695431,J0002179,"ABZORB ANTIFUNGAL SOAP-J0002179",153,103.73,93.36,73,756,SUNPDL2,100GM,,,30-04-2027,18,0,ED000000403,0,0
10633386,PROD166,"ABZORB DUSTING POWDER-PROD166",164.06,125,112.5,1773,756,SUNPDL2,"120 GM",,,29-02-2028,5,0,ED000201030,1,-1
1702450,J0002186,"ACAMPROL TABLET-J0002186",117.19,89.29,80.36,83,756,SUNPDL,6`S,,,30-06-2027,5,0,ED000000422,0,0
15613785,PROD6742,"ACAMPTAS 333 MG TABLET-PROD6742",200.78,152.98,137.68,14,756,INTAS,10,,,31-07-2028,5,0,ED000240034,1,-1
14604933,PROD5378,"ACCARE ACNE SPRAY-PROD5378",380,257.63,231.86,8,756,SURECARE,"60 ML",,,31-07-2027,18,0,ED000232479,1,-1
2691377,J0002194,"ACCARE GEL-J0002194",215.62,164.28,147.86,29,756,SURECARE,15GM,,,30-04-2027,5,0,ED000000430,0,0
2691378,J0002195,"ACCARE SOAP-J0002195",124.57,94.92,85.42,97,756,SURECARE,75GM,,,31-08-2027,5,0,ED000000431,0,0
1688933,J0002197,"ACCSTOP 10 MG CAPSULE-J0002197",159.38,119.68,104.72,8,756,MEGA,10`S,,,30-06-2027,5,0,ED000121558,0,0
8372133,J0051174,"ACCSTOP-N GEL-J0051174",135.94,103.3,101.5,10,756,MEGA,20GM,,,31-08-2027,5,0,ED000189063,0,0
12089189,PROD1622,"ACCU CHEK GUIDE SET-PROD1622",2100,1600,1429.38,20,756,S.ROCHE,1,,,31-07-2027,5,0,ED000167109,1,-1
1697247,J0002200,"ACCU-CHEK ACTIVE TEST STRIPS (2X50)-J0002200",1966,1628,1480.15,19,756,S.ROCHE,2*50,,,28-02-2027,5,0,ED000000456,0,0
1697240,J0002199,"ACCU-CHEK ACTIVE TEST STRIPS-J0002199",398.44,333.29,299.97,157,756,S.ROCHE,10`S,,,31-12-2026,5,0,ED000000455,0,0
1697241,J0002201,"ACCU-CHEK ACTIVE TEST STRIPS-J0002201",745,623.46,560.88,121,756,S.ROCHE,25`S,,,31-01-2027,5,0,ED000000457,0,0
1697242,J0002202,"ACCU-CHEK ACTIVE TEST STRIPS-J0002202",1115,887.88,786.98,174,756,S.ROCHE,50`S,,,28-02-2027,5,0,ED000000458,0,0
4716663,A003692,"ACCU-CHEK AVIVA TEST STRIPS-A003692",1217,1018.71,916.25,40,756,S.ROCHE,50CT,,,28-02-2027,5,0,ED000000471,0,0
1697251,J0002208,"ACCU-CHEK INSTANT KIT-J0002208",1450,1104.76,986.96,10,756,S.ROCHE,PC,,,31-05-2028,5,0,ED000116452,0,0
1697249,J0002207,"ACCU-CHEK INSTANT S KIT-J0002207",820.31,595.57,536.02,90,756,S.ROCHE,PC,,,30-04-2027,5,0,ED000116470,0,0
1697244,J0002206,"ACCU-CHEK INSTANT TEST STRIPS-J0002206",1115.63,874.91,787.43,654,756,S.ROCHE,50`S,,,31-10-2026,5,0,ED000000461,0,0
10085811,J0044335,"ACCU-CHEK INSTANT TEST STRIPS-J0044335",745,623.46,560.88,216,756,S.ROCHE,1*25`S,,,31-01-2027,5,0,ED000000451,0,0
1697245,J0002209,"ACCU-CHEK SOFTCLIX DEVICE-J0002209",425,316.35,284.72,10,756,S.ROCHE,"1 PC",,,31-08-2028,18,0,ED000110024,0,0
3581578,J0002210,"ACCU-CHEK SOFTCLIX LANCETS-J0002210",600,447.19,365.41,24,756,S.ROCHE,1*200,,,31-08-2028,18,0,ED000000465,0,0
1697248,J0002211,"ACCU-CHEK SOFTCLIX LANCETS-J0002211",111.23,93.04,83.74,310,756,S.ROCHE,1*25,,,31-07-2028,18,0,ED000000466,0,0
5588925,J0039689,"ACCU-FINE PEN NEEDLE (33 G X 4 MM)-J0039689",1734,1321.14,966.99,6,756,S.ROCHE,33G*4,,,31-08-2026,5,0,ED000173227,0,0
3352001,A003599,"ACCUFITT CO-Q TABLET-A003599",611.29,465.72,419,3,756,ACCUFFY,10S,"10 + 1, 5 + 9.09%",,31-07-2026,0,0,ED000181083,0,0
4664836,A003600,"ACCUFITT-LC TABLET-A003600",273.88,208.75,187.81,32,756,ACCUFFY,10S,"10 + 1, 5 + 9.09%",,28-02-2027,5,0,ED000169225,0,0
13361645,PROD2643,"ACCUMUNE GOLD TABLET-PROD2643",362.81,276.54,248.8,14,756,ACCUFFY,10,,,31-08-2026,5,0,ED000223263,1,-1
10142279,J0044407,"ACCUMUNE Q 300 CAPSULE 10^S-J0044407",1206.56,919.77,827.5,19,756,ACCUFFY,10`S,,,31-10-2026,5,0,ED000220179,0,0
13338705,PROD2617,"ACCUZON 1 G INJECTION-PROD2617",65.49,49.9,44.91,218,756,MACLEODS,2ML,"1 + 1, 1 + 50%",,31-08-2026,5,0,ED000000483,1,-1
15140602,PROD6577,"ACCUZON 250 MG INJECTION-PROD6577",29.76,22.67,20.4,25,756,MACLEODS,"5 ML","1 + 1, 1 + 50%",,30-11-2026,5,0,ED000000486,1,-1
13338706,PROD2618,"ACCUZON 500 INJECTION-PROD2618",52.78,40.22,36.2,8,756,MACLEODS,1,,,31-08-2026,5,0,ED000000487,1,-1
13338707,PROD2619,"ACCUZON PLUS 1.5 G INJECTION-PROD2619",206.25,157.14,141.43,5,756,MACLEODS,1,"1 + 3, 1 + 75%",,31-08-2026,5,0,ED000000488,1,-1
1683921,J0002237,"ACE-GROW-SR TABLET-J0002237",181.87,138.56,124.71,4,756,FOREGEN,10`S,,,31-05-2027,5,0,ED000000625,0,0
5672433,J0040022,"ACE-PROXYVON CR TABLET-J0040022",173.25,132,87.74,12,756,"DR REDDY`S",10S,,,31-07-2026,5,0,ED000000501,0,0
9636796,J0043111,"ACE-PROXYVON GEL-J0043111",142.73,108.74,97.87,22,756,"DR REDDY`S",30GM,,,31-07-2027,5,0,ED000000502,0,0
10007892,J0044170,"ACE-PROXYVON SP TABLET-J0044170",139.45,106.25,95.62,1,756,"DR REDDY`S",10`S,,,30-04-2027,0,0,ED000000503,0,0
5672434,J0040021,"ACE-PROXYVON TABLET-J0040021",90.23,68.74,61.87,4,756,"DR REDDY`S",10S,,,31-07-2027,0,0,ED000000500,0,0
8267041,J0050732,"ACECLO PLUS TABLET-J0050732",98.44,75,67.5,173,756,ARISTO,15T,"5 + 1, 3 + 16.67%",,31-05-2026,5,0,ED000000547,0,0
8267042,J0050730,"ACECLO SPAS  TABLET-J0050730",148.59,113.21,101.89,17,756,ARISTO,10T,,,31-05-2027,5,0,ED000000549,0,0
8267043,J0050733,"ACECLO SR TABLET-J0050733",92.34,70.35,63.32,17,756,ARISTO,10T,,,31-07-2027,5,0,ED000000545,0,0
8267040,J0050731,"ACECLO TABLET-J0050731",57.19,43.57,39.21,13,756,ARISTO,10T,,,30-09-2026,5,0,ED000000544,0,0
1709051,J0002223,"ACECLO-MR TABLET-J0002223",106.73,81.32,73.19,9,756,ARISTO,10`S,,,30-04-2027,5,0,ED000000546,0,0
1709055,J0002225,"ACECLO-SERA TABLET-J0002225",117.19,89.29,80.36,98,756,ARISTO,10`S,"5 + 1, 3 + 16.67%",,28-02-2027,5,0,ED000000548,0,0
1682923,J0002228,"ACECLOREN TABLET-J0002228",124.5,94.86,85.37,3,756,INDOCO,10`S,,,31-07-2026,5,0,ED000000568,0,0
2691382,J0002229,"ACECLOREN-P  TABLET-J0002229",75,57.14,51.43,10,756,INDOCO,10`S,,,31-05-2026,5,0,ED000000569,0,0
15526254,PROD6709,"ACEGABA 100 MG CAPSULE-PROD6709",134.44,102.43,92.19,48,756,EMCUR,15,,,31-01-2027,5,0,ED000241241,1,-1
3789358,J0037168,"ACEGROW 3D SYRUP-J0037168",123.75,94.29,84.86,12,756,FOREGEN,100ML,,,31-03-2027,5,0,ED000169799,0,0
15029343,PROD6461,"ACEGROW 3DM TABLET-PROD6461",186.56,142.14,127.93,67,756,FOREGEN,10,,,31-03-2027,5,0,ED000243471,1,-1
7154347,J0046719,"ACEGROW-FM TABLET-J0046719",180.47,137.5,123.75,3,756,FOREGEN,"10 T",,,30-06-2026,5,0,ED000183917,0,0
14848126,PROD6095,"ACEMIC SP TABLET-PROD6095",121.88,92.85,81.71,60,756,MELIORISM,10,"5 + 1, 3 + 16.67%",,28-02-2027,5,0,ED000235788,1,-1
5865636,J0040515,"ACEMIZ PLUS TABLET-J0040515",131.7,16.1,14,27,756,GENERICS,10S,,,30-04-2027,5,0,ED000000659,0,0
5890504,J0040544,"ACEMIZ-S  TABLET-J0040544",139.65,28.58,24.85,17,756,GENERICS,10S,,,31-03-2027,5,0,ED000000661,0,0
14451620,PROD4022,"ACEMYOSET P TABLET-PROD4022",177.19,135,127.84,5,756,SPARSH,10,,,28-02-2027,5,0,ED000180683,1,-1
3640341,J0036552,"ACEMYOSET TABLET-J0036552",224.06,179.62,161.66,9,756,SPARSH,1*10,,,31-07-2027,5,0,ED000147376,0,0
1693703,J0002240,"ACENAC MR 8 TABLET-J0002240",346.88,264.29,237.86,12,756,MEDLEY,10`S,,,30-09-2027,5,0,ED000000678,0,0
1693702,J0002241,"ACENAC MR TABLET-J0002241",239.06,182.14,113.78,12,756,MEDLEY,10`S,,,30-06-2027,5,0,ED000000677,0,0
1693704,J0002244,"ACENAC P TABLET-J0002244",111.09,84.64,76.18,27,756,MEDLEY,15`S,,,30-04-2028,5,0,ED000171339,0,0
1693705,J0002246,"ACENAC SR TABLET-J0002246",92.34,70.36,63.32,11,756,MEDLEY,10`S,,,31-03-2028,5,0,ED000000676,0,0
19857505,PROD7718,"ACENEXT P TABLET-PROD7718",65.48,10,6.4,145,756,"CADILA PHARMACEUTICALS LTD",10,,,31-07-2027,5,0,ED000000689,1,-1
1688893,J0002262,"ACERA-20 CAPSULE-J0002262",102.7,78.25,70.42,17,756,IPCA,10`S,,,30-06-2026,5,0,ED000000737,0,0
1688894,J0002264,"ACERA-D CAPSULE-J0002264",147.61,112.46,101.21,20,756,IPCA,10`S,,,31-10-2026,5,0,ED000000739,0,0
1688889,J0002265,"ACERA-L CAPSULE-J0002265",271.22,206.64,185.98,11,756,IPCA,10`S,,,31-03-2027,5,0,ED000000742,0,0
8943465,J0052006,"ACERET  CAPSULE-J0052006",809.46,616.73,555.06,11,756,ERIS,10`S,,,31-05-2027,5,0,ED000000744,0,0
1693484,J0002218,"ACEREVELOL 50/5 TABLET-J0002218",355.64,270.96,243.86,13,756,IPCA,10`S,,,28-02-2027,5,0,ED000000511,0,0
14561217,PROD5186,"ACFREE GENTLE SKIN CLEANSER-PROD5186",350,237.29,213.56,19,756,SURECARE,"125 ML",,,31-12-2026,18,0,ED000232507,1,-1
1704877,J0002281,"ACHIGUN FACEWASH-J0002281",575,389.83,350.84,17,756,DERMAJOINT,100ML,,,30-09-2027,18,0,ED000148867,0,0
2691390,J0002283,"ACIBAN 40 TABLET-J0002283",75,57.14,42.85,10,756,CADILA,10`S,,,01-12-2026,5,0,ED000000830,0,0
9773427,J0043767,"ACIBENZ SYRUP-J0043767",149.91,114.2,102.79,6,756,BIOCLARIS,200ML,,,30-06-2027,5,0,ED000197771,0,0
1684066,J0002288,"ACIFIX 3X SUSPENSION ORANGE FLAVOUR SUSPENSION-J0002288",146.44,111.57,100.41,73,756,MOREPEN,BOTTLE,"5 + 1, 3 + 16.67%",,31-12-2027,5,0,ED000000874,0,0
14930004,PROD6254,"ACIFIX RAFT SUSPENSION-PROD6254",210,160,144,28,756,MOREPEN,"200 ML",,,28-02-2027,5,0,ED000235447,1,-1
1685280,J0002291,"ACILOC 150 TABLET-J0002291",50.44,38.43,34.59,242,756,CADILA,30`S,,,31-03-2028,0,0,ED000000909,0,0
5890505,J0040595,"ACILOC 300 TABLET-J0040595",56.25,42.86,38.57,43,756,CADILA,20C,,,01-11-2027,0,0,ED000000914,0,0
1689752,J0002293,"ACILOC INJECTION-J0002293",67.5,51.4,46.26,69,756,CADILA,10*2ML,,,01-02-2028,5,0,ED000000910,0,0
10162162,J0044461,"ACILOC ONLY ORAL SOLUTION-J0044461",164.53,125.36,102.57,5,756,CADILA,100ML,,,31-05-2027,5,0,ED000000916,0,0
1700912,J0002297,"ACILOC RD 20 TABLET-J0002297",86.53,65.93,59.34,22,756,CADILA,15`S,,,01-06-2027,0,0,ED000156263,0,0
10162164,J0044465,"ACILOC S SUSPENSION-J0044465",164.06,125,125,2,756,CADILA,200ML,,,31-08-2027,0,0,ED000000920,0,0
14560620,PROD5156,"ACIMOL TABLET-PROD5156",35.63,13.68,11.9,9,756,LEEFORD,10,,,31-12-2027,5,0,ED000141969,1,-1
1688448,J0002303,"ACITROM 1 TABLET-J0002303",330.34,251.69,226.52,11,756,ABBOTT-H,30`S,,,31-07-2028,5,0,ED000000978,0,0
3351486,J0002306,"ACITROM 2 TABLET-J0002306",517.4,394.21,354.79,12,756,ABBOTT-H,30,,,30-06-2028,5,0,ED000000979,0,0
11436177,PROD1095,"ACITROM 2.5 TABLET-PROD1095",508.41,387.36,348.62,6,756,ABBOTT-H,1*30,,,31-05-2026,5,0,ED000212631,1,-1
1688450,J0002308,"ACITROM 3 TABLET-J0002308",661.09,503.69,439.31,11,756,ABBOTT-H,30`S,,,31-05-2028,5,0,ED000000980,0,0
1688451,J0002310,"ACITROM 4 TABLET-J0002310",705.31,537.38,468.7,3,756,ABBOTT-H,30`S,,,31-01-2028,5,0,ED000000981,0,0
13834414,PROD2848,"ACIVIR 800  DT TABLET-PROD2848",197.71,138.29,138.29,120,756,"CIPLA LTD.",10,,,30-04-2026,5,0,ED000148868,1,-1
8638953,J0051574,"ACIVIR CREAM-J0051574",182.68,139.18,125.27,6,756,CIPLA,"10 GM",,,31-08-2028,5,0,ED000140539,0,0
2691394,J0002312,"ACIVIR-200 DT TABLET-J0002312",81.26,61.91,55.72,41,756,CIPLA,10`S,,,31-05-2028,5,0,ED000000984,0,0
9542081,J0043062,"ACIVIR-400 DT TABLET-J0043062",143.43,109.28,98.35,339,756,CIPLA,10S,,,30-04-2027,5,0,ED000196683,0,0
2691399,J0002323,"ACLAIM TOOTHPASTE-J0002323",240,182.86,164.57,64,756,GROUP,70GM,,,30-06-2028,5,0,ED000001012,0,0
4664838,J0038899,"ACLIND GEL-J0038899",96,73.14,65.83,8,756,MOHRISH,15GM,,,31-12-2026,5,0,ED000001022,0,0
11156653,PROD752,"ACMED FACE WASH-PROD752",420,284.74,256.27,1,756,ETHICARE,"1*200 GM",,,31-05-2028,18,0,ED000174418,1,-1
5317172,J00523,"ACMED FACEWASH-J00523",220,149.15,134.24,68,756,ETHICARE,"70 GM",,,30-09-2028,18,0,ED000001066,0,0
14505069,PROD4685,"ACMIST ACNE FOAM FACE WASH-PROD4685",490,340.51,306.46,1,756,"BRINTON PH","100 ML",,,30-11-2026,18,0,ED000230724,1,-1
4452230,J0038558,"ACMIST MOISTURIZING CREAM GEL-J0038558",436,302.98,272.68,16,756,BRINTON,50GM,,,31-07-2027,18,0,ED000001069,0,0
6057117,J0040927,"ACNE OC LOTION-J0040927",618,418.98,377.08,172,756,IPCA,"75 GM",,,31-07-2027,18,0,ED000151599,0,0
6419017,J0041678,"ACNE UV GEL SPF 30 GEL-J0041678",837,567.46,510.71,13,756,IPCA,60GM,,,31-05-2027,18,0,ED000001084,0,0
8247599,J0050443,"ACNE UV GEL SPF 30 GEL-J0050443",552,374.24,336.82,56,756,IPCA,"30 GM",,,31-01-2027,18,0,ED000001083,0,0
6017445,J0040811,"ACNE UV GEL SPF 50 GEL-J0040811",975,661.02,594.92,23,756,IPCA,"50 GM",,,31-01-2027,18,0,ED000110040,0,0
9934434,J0044047,"ACNE UV GEL SPF 50 GEL-J0044047",1550,1050.85,945.76,18,756,IPCA,100GM,,,31-01-2027,18,0,ED000200594,0,0
19101826,PROD7612,"ACNE UV GOLD SPF 100+ SUNSCREEN GEL CREAM-PROD7612",990,671.18,604.06,17,756,IPCA,"50 GM",,,31-01-2027,18,0,ED000243548,1,-1
19125728,PROD7618,"ACNE UV GOLD SPF 100+ SUNSCREEN GEL CREAM-PROD7618",1725,1169.49,1052.54,15,756,IPCA,"100 GM",,,31-01-2027,18,0,ED000243581,1,-1
19125729,PROD7619,"ACNE UV GOLD SPF 100+ SUNSCREEN GEL CREAM-PROD7619",600,406.78,366.1,9,756,IPCA,"30 GM",,,31-01-2027,18,0,ED000242608,1,-1
11213625,PROD837,"ACNE UV SPF 30 GEL-PROD837",1550,1050.85,945.76,3,756,IPCA,"100 GM",,,31-01-2027,18,0,ED000211653,1,-1
1686441,J0002339,"ACNECAP LB CAPSULE-J0002339",93.75,71.45,64.31,19,756,D.A.L,10`S,"20 + 1, 10 + 4.76%",,28-02-2027,5,0,ED000121566,0,0
1697373,J0002342,"ACNECHIO DEEP CLEANSING GEL FACE WASH FACEWASH-J0002342",599,406.12,365.5,21,756,SENECHIO,100ML,,,31-03-2028,18,0,ED000148871,0,0
